"PID";"VALUE";"UNITS"
"[BMS] Cell Voltage 28";"3.64";"V"
"[BMS] Cell Voltage 29";"3.64";"V"
"[BMS] Cell Voltage 30";"3.64";"V"
"[BMS] Cell Voltage 31";"3.64";"V"
"[BMS] Cell Voltage 32";"3.64";"V"
"[BMS] Cell Voltage 33";"3.64";"V"
"[BMS] Cell Voltage 34";"3.64";"V"
"[BMS] Cell Voltage 35";"3.64";"V"
"[BMS] Cell Voltage 36";"3.64";"V"
"[BMS] Cell Voltage 37";"3.64";"V"
"[BMS] Cell Voltage 38";"3.64";"V"
"[BMS] Cell Voltage 39";"3.64";"V"
"[BMS] Cell Voltage 40";"3.64";"V"
"[BMS] Cell Voltage 41";"3.64";"V"
"[BMS] Cell Voltage 42";"3.64";"V"
"[BMS] Cell Voltage 43";"3.64";"V"
"[BMS] Cell Voltage 44";"3.64";"V"
"[BMS] Cell Voltage 45";"3.64";"V"
"[BMS] Cell Voltage 46";"3.64";"V"
"[BMS] Cell Voltage 47";"3.64";"V"
"[BMS] Cell Voltage 48";"3.64";"V"
"[BMS] Cell Voltage 49";"3.64";"V"
"[BMS] Cell Voltage 50";"3.64";"V"
"[BMS] Cell Voltage 51";"3.64";"V"
"[BMS] Cell Voltage 52";"3.64";"V"
"[BMS] Cell Voltage 53";"3.64";"V"
"[BMS] Cell Voltage 54";"3.64";"V"
"[BMS] Cell Voltage 55";"3.64";"V"
"[BMS] Cell Voltage 56";"3.64";"V"
"[BMS] Cell Voltage 57";"3.64";"V"
"[BMS] Cell Voltage 58";"3.64";"V"
"[BMS] Cell Voltage 59";"3.64";"V"
"[BMS] Cell Voltage 60";"3.64";"V"
"[BMS] Cell Voltage 61";"3.64";"V"
"[BMS] Cell Voltage 62";"3.64";"V"
"[BMS] Cell Voltage 63";"3.64";"V"
"[BMS] Cell Voltage 64";"3.64";"V"
"[BMS] Cell Voltage 65";"3.64";"V"
"[BMS] Cell Voltage 66";"3.64";"V"
"[BMS] Cell Voltage 67";"3.64";"V"
"[BMS] Cell Voltage 68";"3.64";"V"
"[BMS] Cell Voltage 69";"3.64";"V"
"[BMS] Cell Voltage 70";"3.64";"V"
"[BMS] Cell Voltage 71";"3.64";"V"
"[BMS] Cell Voltage 72";"3.64";"V"
"[BMS] Cell Voltage 73";"3.64";"V"
"[BMS] Cell Voltage 74";"3.64";"V"
"[BMS] Cell Voltage 75";"3.64";"V"
"[BMS] Cell Voltage 76";"3.64";"V"
"[BMS] Cell Voltage 77";"3.64";"V"
"[BMS] Cell Voltage 78";"3.64";"V"
"[BMS] Cell Voltage 79";"3.64";"V"
"[BMS] Cell Voltage 80";"3.64";"V"
"[BMS] Cell Voltage 81";"3.64";"V"
"[BMS] Cell Voltage 82";"3.64";"V"
"[BMS] Cell Voltage 83";"3.64";"V"
"[BMS] Cell Voltage 84";"3.64";"V"
"[BMS] Cell Voltage 85";"3.64";"V"
"[BMS] Cell Voltage 86";"3.64";"V"
"[BMS] Cell Voltage 87";"3.64";"V"
"[BMS] Cell Voltage 88";"3.64";"V"
"[BMS] Cell Voltage 89";"3.64";"V"
"[BMS] Cell Voltage 90";"3.64";"V"
"[BMS] Cell Voltage 91";"3.64";"V"
"[BMS] Cell Voltage 92";"3.64";"V"
"[BMS] Cell Voltage 93";"3.64";"V"
"[BMS] Cell Voltage 94";"3.64";"V"
"[BMS] Cell Voltage 95";"3.64";"V"
"[BMS] Cell Voltage 96";"3.64";"V"
"[BMS] Cell Voltage 97";"3.64";"V"
"[BMS] Cell Voltage 98";"3.64";"V"
"[BMS] Cumulative Charge Current";"28187.2";"Ah"
"[BMS] Cumulative Discharge Current";"28097.2";"Ah"
"[BMS] Cumulative Energy Charged";"10476.4";"kWh"
"[BMS] Cumulative Energy Discharged";"10093.4";"kWh"
"[BMS] DATC A/C Compressor operation RPM var.1";"780";"rpm"
"[BMS] Drive Motor Speed 1";"0";"rpm"
"[BMS] HV_Charging";"0";""
"[BMS] Inverter Capacitor Voltage";"358";"V"
"[BMS] Isolation Resistance";"1000";"kOhm"
"[BMS] Maximum Cell Voltage";"3.64";"V"
"[BMS] Maximum Cell Voltage No.";"14";""
"[BMS] Maximum Deterioration Cell No.";"0";""
"[BMS] Minimum Cell Voltage";"3.64";"V"
"[BMS] Minimum Cell Voltage No.";"1";""
"[BMS] Minimum Deterioration";"0";"%"
"[BMS] Minimum Deterioration Cell No.";"0";""
"[BMS] Normal Charge Port";"0";""
"[BMS] Number of quick charging";"102";""
"[BMS] Number of standard charging";"263";""
"[BMS] Operating Time";"5832.92277777778";"Hours"
"[BMS] Rapid Charge Port";"0";""
"[BMS] State of Charge BMS";"48";"%"
"[BMS] State of Charge Display";"49.5";"%"
"[BMS] State of Health";"100";"%"
"[BMS] Water cooling temperature";"17";"℃"
"[DASH] Odometer";"49357";"km"
"[HVAC] Coolant temperature 1";"25";"℃"
"[HVAC] Coolant temperature 2";"19";"℃"
"[HVAC] Evaporator Temperature";"6";"℃"
"[HVAC] Humidity sensor for automatic defogger";"71";"%"
"[HVAC] Indoor Temperature";"18.5";"℃"
"[HVAC] Interior temperature: driver legs vent";"16.5";"℃"
"[HVAC] Interior temperature: driver vent";"16.5";"℃"
"[HVAC] Interior temperature: front";"18.5";"℃"
"[HVAC] Inverter temperature";"29";"℃"
"[HVAC] Outdoor Temperature";"12.5";"℃"
"[OBC] Charger AC Input voltage (RMS)";"0";"V"
"[OBC] Charger temperature A";"154";"℃"
"[TPMS] Tire Pressure Back Left";"17.8916953572";"kPa"
"[TPMS] Tire Pressure Back Right";"18.1756905216";"kPa"
"[TPMS] Tire Pressure Front Left";"17.513035138";"kPa"
"[TPMS] Tire Pressure Front Right";"18.0810254668";"kPa"
"[TPMS] Tire Temperature Back Left";"16";"℃"
"[TPMS] Tire Temperature Back Right";"15";"℃"
"[TPMS] Tire Temperature Front Left";"17";"℃"
"[TPMS] Tire Temperature Front Right";"16";"℃"
"[VMCU] AUX amps LDC";"17.98";"A"
"[VMCU] Auxiliary Battery Current";"-32.139";"A"
"[VMCU] Auxiliary Battery Current var.2";"-6.69";"A"
"[VMCU] Auxiliary Battery SoC";"76";"%"
"[VMCU] VMCU Accel Pedal Depth";"0";"%"
"[VMCU] VMCU Accel Pedal Related";"0";""
"[VMCU] VMCU Brake lamp";"0";""
"[VMCU] VMCU Brake related";"90";""
"[VMCU] VMCU Brakes On";"1";""
"[VMCU] VMCU D";"0";""
"[VMCU] VMCU N";"0";""
"[VMCU] VMCU P";"1";""
"[VMCU] VMCU R";"0";""
"[VMCU] VMCU Real Vehicle Speed";"0";"km/h"
"# warm-ups since codes cleared";"75";""
"Brake light";"0";""
"Low beams";"0";""
"Max Cell Voltage";"3.64";"V"
"Min Cell Voltage";"3.64";"V"
"OBD Module Voltage";"14.9";"V"
